wallet,deposit_volume,borrow_volume,repay_volume,redeem_volume,deposit_count,borrow_count,repay_count,redeem_count,liquidation_count,active_days,token_diversity,total_tx,credit_score,score_range
0x00130437654e7e86cbbeeaf34f4771df6a1fb45c,0.0926,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,305.8856017697948,"(300, 400]"
0x00133f29e7d424f4e5773532b3fc35d020e9c54e,2.455392,0.0,0.0,0.0,2,0,0,0,0,6.09,1,2,318.41435909539103,"(300, 400]"
0x0014dfac19477a83d7354e6eaac28642c1959398,169.93361,18156.827224,18162.323503,169.935788,10,6,9,11,0,30.19,3,36,917.5876119754907,"(900, 1000]"
0x001589fe1923c2118f34e4277f2ef650fcbf0161,19179.15772,943.379632,0.0,17267.43342,19,2,0,9,0,132.77,5,30,445.74464904886065,"(400, 500]"
0x00159370cbe576b765a7fb2e78582e0cb563d445,2012.821755,1067.053676,0.0,1073.27,10,7,0,2,0,20.83,5,19,404.5495623304941,"(400, 500]"
0x0015b3f0266cd7b1f4105cf8180d37e7bd0ccead,14.127252,0.0,0.0,14.127276,1,0,0,1,0,0.02,1,2,432.1683121872883,"(400, 500]"
0x0016469a65facda9e86fd0ae0e9661128843c224,0.0221,0.005,0.0,0.0,1,1,0,0,0,0.0,1,2,105.21859334352894,"(100, 200]"
0x0016dcd1d3c93067dce5bb30dc33258f36d33308,0.0963,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,305.9194087369836,"(300, 400]"
0x00183135585d70a523d61b2e43037a7138b36906,4890.055559,1420.027253,0.64074,3805.695598,15,13,10,16,0,57.14,6,54,711.3009916471034,"(700, 800]"
0x00184e8aa1e95f491f2d9601e12b540092160ded,102.35,61.0,61.0,102.35,1,1,1,1,0,0.0,2,4,738.9239005621796,"(700, 800]"
0x0018583d7654803d2c59467e10dec5f70bbe1851,0.00072,0.0,0.0,0.0,72,0,0,0,0,22.2,3,72,418.70719740924346,"(400, 500]"
0x001875a076b3cfe1c9535d76b0345c16e3d61118,2.2,0.0,0.0,0.0,2,0,0,0,0,5.46,1,2,317.54150809805685,"(300, 400]"
0x0018d044b946ede86b43bb3b964a45772a5abeb9,4745.328998,1.121816,1.12182,4747.019658,9,2,2,9,0,53.29,3,22,723.5784184428769,"(700, 800]"
0x0019971fb18fbfc9108d90eb2cdd4d5a0a897eee,0.0,79.209353,158.517071,187.415889,0,1,2,2,0,14.21,3,5,718.8113522275524,"(700, 800]"
0x0019bd9f6142943f3a03a8a62d0001a95213f555,0.1,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,305.95310179804324,"(300, 400]"
0x001b024b98ee862aa01eea595c4c16a0213d2611,0.411898,500.0,0.0,0.0,1,1,0,0,0,0.0,2,2,113.44934898501424,"(100, 200]"
0x001bc3cfc3eed892dd6de07807333f2b05c5b4e9,399.312297,234.424601,234.555105,331.228407,10,6,7,9,0,23.08,3,32,804.6746807350476,"(800, 900]"
0x001bc97d92e1a30b02d4e75be25f06063555d556,114845.049794,54452.832761,54495.849398,99185.202183,12,10,9,14,0,9.53,4,45,946.2197748591793,"(900, 1000]"
0x001be549fa377710b9e59d57bbdf593ce1e379ca,15.006241,0.0,0.0,0.0,2,0,0,0,0,20.68,2,2,441.17645375351856,"(400, 500]"
0x001c88d92d199c9eb936ed3d6758da7c48e4d08e,2.009845,0.0,0.0,0.0,2,0,0,0,0,9.7,2,2,322.63555249084925,"(300, 400]"
0x001d2a3192a49e28cac0a7abcaa916648c62b982,0.006461,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,305.0644021720987,"(300, 400]"
0x001d4aa3f14b6e0019e5615e9c8eb50659061220,1.109087,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,312.462551524239,"(300, 400]"
0x001f96b7e19a54ae45f451b0148336504d03fdcf,0.000185,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,305.0018498288961,"(300, 400]"
0x001fbfc5e2b56d372d642f5f1b52b5cde4584779,918.900413,0.0,0.0,300.0,5,0,0,1,0,68.26,2,6,589.6193208411152,"(500, 600]"
